query,reference_answer
How do I set up a Meraki site-to-site VPN with another Meraki network?,"In Meraki Dashboard:
1. Go to Security & SD-WAN > Site-to-site VPN
2. Set mode to 'Hub' or 'Spoke' depending on topology
3. Define subnets to advertise and allow remote peer networks
4. Ensure both networks are in the same organization and have AutoVPN enabled
5. Use 'Organization > VPN Status' to monitor tunnels.

No manual key exchange is needed in AutoVPN; Meraki handles that automatically."
Why is a device showing an IP conflict warning?,"An IP conflict occurs when two devices share the same IP. This may be caused by:
- Static IPs overlapping with DHCP pools
- MAC spoofing or cloning
- Multiple DHCP servers

Check DHCP lease table, and use 'arp -a' or 'show ip dhcp conflict' on switches/routers. In Meraki, IP conflicts are flagged under client details. Fix by assigning unique IPs or removing overlapping scopes."
How does AP roaming work between multiple Meraki access points?,"Roaming is client-driven. Devices choose when to roam based on signal strength, SNR, and mobility threshold. Meraki enhances this by supporting:
- 802.11r (fast roaming)
- Client balancing
- Band steering

Roaming can be observed under Wireless > Access Points > Client Timeline. Ensure overlapping coverage and same SSID across APs."
What’s the CLI command to see VLANs on a Cisco switch?,"To see VLANs:
- 'show vlan brief' shows active VLANs and assigned ports
- 'show interfaces trunk' shows VLANs allowed on trunk ports
- 'show ip interface brief' shows interface status

Use these commands to ensure VLANs are correctly configured and propagated across your network."
Why is my VLAN interface (SVI) showing “down” even though ports are active?,"An SVI (Switched Virtual Interface) will remain down if no port in that VLAN is operational. To bring it up:
- Ensure at least one access port in the VLAN is 'up/up'
- Verify VLAN exists and is not administratively shut down
- Use 'show vlan' and 'show interfaces status' to troubleshoot. For trunk ports, make sure the VLAN is allowed."
How do I create an ACL in Aruba GUI to block internet access for a specific VLAN?,"In Aruba Central:
1. Go to Security > Access Control Lists
2. Create a session ACL
3. Add a rule denying destination: any
4. Attach the ACL to the VLAN under Networks > VLANs.

This blocks all outbound traffic from that VLAN. To allow local access (e.g., DNS or gateway), insert 'allow' rules above the 'deny all' rule."
Can I use NAT instead of routing to connect two VLANs?,"No — VLANs are separate Layer 2 segments that require Layer 3 routing to communicate. NAT modifies IPs for external access; it doesn't bridge VLANs.

Use SVIs on a Layer 3 switch or firewall subinterfaces to route between VLANs. NAT is used to map internal IPs to public IPs for internet-bound traffic."
What does it mean if a client is stuck in Layer 2 in Meraki?,"It means the client has connected at the MAC/link layer but failed to get a Layer 3 IP address. Causes:
- No DHCP response
- VLAN mismatch
- DHCP scope exhausted

Meraki Dashboard shows this status under Client Details. Resolve by checking switch port config, DHCP scope, and client NIC."
How can I tell if a VLAN is correctly propagating across all switches?,"On Cisco, use:
- 'show vlan brief'
- 'show interfaces trunk'
- 'show cdp neighbors detail'

Check that VLAN exists and is allowed on trunks. On Aruba, use 'show vlan' and 'show trunk'. VLAN mismatches or pruning may prevent propagation. Topology views in dashboard interfaces (Meraki/Aruba Central) can help visualize spanning and VLAN continuity."
What could cause a Meraki MX to fail to advertise a subnet in AutoVPN?,"Meraki MX may fail to advertise a subnet in AutoVPN if:
- The VLAN is not enabled or assigned to the MX
- The subnet is not included in the Site-to-site VPN settings
- The MX is not in 'Hub' or properly linked as a 'Spoke'
- There are IP conflicts or overlapping subnets
- The appliance is offline or misconfigured

Go to Security & SD-WAN > Site-to-site VPN, ensure the desired VLAN is selected under 'Local Networks', and that the device is in the correct VPN topology. Verify advertised routes in Organization > VPN Status."
"How do you interpret 'DHCP starvation attack' in a network, and how to mitigate it?","A DHCP starvation attack floods the DHCP server with requests using spoofed MAC addresses, exhausting its IP pool and denying real clients service.

Symptoms include:
- Clients getting no IP
- All IPs being leased to unknown devices

Mitigations:
- Enable DHCP snooping
- Set lease limits per port
- Use port security to restrict MACs
- On Cisco: 'ip dhcp snooping' and 'ip dhcp snooping limit rate 10'

Meraki does not allow CLI mitigation but flags suspicious DHCP behavior in Event Logs."
"What is the purpose of native VLAN, and what happens if native VLANs mismatch between two devices?","The native VLAN is used for untagged traffic on trunk ports. By default, VLAN 1 is the native VLAN on Cisco.

If there's a mismatch:
- One device expects traffic untagged for VLAN X
- The other interprets it as VLAN Y

This can cause misrouted traffic, broadcast storms, or security issues. On Cisco, use 'show interfaces trunk' to check. Best practice is to use an unused VLAN (e.g., VLAN 999) as native and filter it with ACLs."
What is the difference between intra-VLAN and inter-VLAN routing?,"- Intra-VLAN routing refers to communication within the same VLAN/subnet using Layer 2 switching.
- Inter-VLAN routing allows traffic between different VLANs/subnets using Layer 3 routing.

Inter-VLAN routing can be done via:
- SVIs on Layer 3 switches
- Router-on-a-stick
- Firewalls with subinterfaces

Each VLAN requires a gateway (e.g., 192.168.10.1). ACLs or firewall rules can filter inter-VLAN traffic."
How does Aruba Central handle bandwidth limits per SSID or user?,"In Aruba Central:
- Navigate to Network > Wireless SSID > Traffic Shaping
- Set upstream/downstream limits per SSID or per-client

You can also assign bandwidth profiles via roles or VLAN-based policies. This is useful in guest networks to prevent abuse. Analytics dashboards display bandwidth usage by user or application."
What are the benefits and drawbacks of dynamic NAT vs static NAT on a firewall?,"- Static NAT maps one internal IP to one external IP; good for servers
- Dynamic NAT uses a pool of external IPs for multiple clients

**Pros:**
- Static NAT: Predictable, consistent IPs for services
- Dynamic NAT: Efficient use of public IPs

**Cons:**
- Static NAT: Consumes more public IPs
- Dynamic NAT: Can lead to failures under IP exhaustion

PAT (Port Address Translation) is often preferred for outbound traffic to conserve IPs."
What is the function of the command ‘ip nat inside source list 1 interface G0/1 overload’?,"This command enables PAT on a Cisco router:
- 'list 1' matches internal IPs via an ACL
- 'interface G0/1' specifies the NAT outside interface
- 'overload' allows multiple clients to share one public IP using ports

Example:
access-list 1 permit 192.168.0.0 0.0.0.255
ip nat inside source list 1 interface G0/1 overload"
Why is a trunk port necessary when connecting switches together?,"Trunk ports carry traffic from multiple VLANs using 802.1Q tagging. Access ports only carry one VLAN.

When switches are connected, trunking ensures VLANs are extended end-to-end.

Commands:
switchport mode trunk
switchport trunk allowed vlan 10,20

Mismatched trunk config leads to VLAN propagation issues or broadcast isolation."
What could cause a client to randomly disconnect from a Meraki wireless network?,"Causes may include:
- Weak signal
- AP load balancing or 802.11r handoff bugs
- DHCP lease expiration
- Interference from nearby APs

Use Wireless > Clients > Timeline and Wireless Health to check logs. Optimize RF profiles and ensure client support for roaming standards."
"How does EIGRP select the best path, and what is the role of feasible successor?","EIGRP uses bandwidth and delay to calculate metrics. The path with the lowest metric becomes the **successor**.

A **feasible successor** is a backup path that meets the feasibility condition:
Reported distance < Feasible distance of current route.

This ensures loop-free redundancy. Use 'show ip eigrp topology' to list successors and backups."
What’s the difference between DHCP snooping and IP source guard?,"DHCP snooping and IP Source Guard are Layer 2 security features used together to prevent spoofing and unauthorized network access.

- **DHCP Snooping** monitors DHCP traffic and builds a binding table containing legitimate MAC-IP-Port-VLAN mappings by allowing DHCP replies only from trusted ports.
- **IP Source Guard** uses this binding table to restrict traffic on untrusted ports, blocking packets with mismatched IP or MAC addresses.

Example (Cisco):
interface Gig0/1
 ip dhcp snooping trust
 ip verify source

Together, they mitigate spoofing, man-in-the-middle, and rogue DHCP attacks in access-layer switches."
How does Meraki handle failover between WAN1 and WAN2?,"Meraki MX uses health-based routing to manage failover between WAN1 and WAN2. It performs continuous performance monitoring using ICMP, DNS, and HTTP probes to designated targets.

- If WAN1 degrades (high latency/loss) or fails, Meraki fails over traffic to WAN2.
- You can configure custom Performance Classes for different traffic types (e.g., VoIP) in **Security & SD-WAN > SD-WAN & Traffic Shaping**.
- Uplink selection rules allow per-application failover decisions.

Failover typically takes less than 30 seconds and is logged in the Event Logs. Meraki resumes WAN1 automatically once it becomes healthy again."
"What causes 'duplicate ACKs' in packet captures, and are they always bad?","Duplicate ACKs in TCP indicate out-of-order packets or potential loss. When three or more duplicate ACKs are seen, TCP Fast Retransmit is triggered to resend missing segments.

They are not always problematic:
- A few duplicates are expected during congestion or roaming
- Excessive duplicates indicate packet loss, jitter, or asymmetric routing

Analyze with tools like Wireshark by tracking TCP streams. In wireless setups, they may be caused by interference or signal fluctuations. In Meraki, use Wireless Health and per-client diagnostics to correlate with roaming or AP load balancing issues."
How do you configure a trunk port on an Aruba switch?,"In ArubaOS (CX or legacy), trunk ports allow multiple VLANs to traverse a single uplink between switches or from switch to firewall/access point.

Configuration example:
interface 1/1/1
 vlan trunk native 1
 vlan trunk allowed 10,20,30

- 'trunk native' sets which VLAN is untagged
- 'trunk allowed' specifies tagged VLANs

Use 'show vlan port 1/1/1' to verify trunking. Ensure both sides of the link agree on allowed VLANs and tagging conventions to avoid traffic drops or mismatches."
What are the limitations of static routing in large networks?,"Static routing is simple but does not scale in complex or growing networks.

Limitations include:
- Manual reconfiguration for every topology change or failure
- No automatic path redundancy or convergence
- Increased administrative overhead and risk of misconfiguration

In larger topologies, dynamic protocols (EIGRP, OSPF, BGP) offer automatic discovery, failover, and loop prevention. Static routes are still useful in small or edge environments for route control or stub networks."
"How does VLAN pruning work in Cisco switches, and why use it?","VLAN pruning prevents unnecessary VLANs from being propagated across trunk links, reducing broadcast traffic and enhancing performance and security.

**Manual pruning:**
switchport trunk allowed vlan 10,20,30

**Dynamic pruning (with VTP):**
vtp pruning

When enabled, Cisco switches prune VLANs that are not active on downstream ports. This avoids flooding irrelevant traffic and reduces CPU load on switches. Always validate with 'show interfaces trunk'."
How does Meraki handle rogue AP detection and mitigation?,"Meraki continuously scans the air for unauthorized APs using its built-in WIPS (Wireless Intrusion Prevention System). It detects:
- SSID spoofing
- MAC cloning
- Unauthorized APs connected to the wired LAN

In **Wireless > Air Marshal**, you can:
- Classify rogue devices as friendly or malicious
- Enable containment, which sends deauth frames to clients trying to connect to rogues

Note: Containment should be used cautiously, as it may impact nearby legitimate networks and is restricted in some regulatory domains."
What is asymmetric routing and why is it problematic in firewalled environments?,"Asymmetric routing occurs when outbound and return traffic follow different paths across the network.

In a firewall scenario:
- The firewall sees outbound packets on Interface A
- The return packet arrives on Interface B
- The firewall drops the packet as it doesn’t match an established connection

This breaks stateful inspection and can cause intermittent drops. Solutions include:
- Using symmetric routing
- Adjusting firewall rules for stateless inspection
- Configuring tracking-based routing policies or session-aware firewalls"
Why are Layer 3 switches preferred over routers in modern campus networks?,"Layer 3 switches offer high-performance routing and switching in one device.

**Advantages over routers:**
- Hardware-based packet forwarding at line rate
- Lower latency for inter-VLAN routing
- Support for dynamic routing protocols, ACLs, QoS

They simplify LAN design by removing the need for separate routers at distribution/core layers. Routers are still used at WAN edges for advanced NAT, VPN, and traffic shaping."
How can I view port utilization statistics on an Aruba switch?,"Use the following CLI command for per-port stats:
`show interfaces <port> counters`

It displays:
- Packets and bytes in/out
- Errors (CRC, collisions, discards)
- Utilization percentage

For all ports:
`show interfaces brief`

In Aruba Central:
Navigate to Monitoring > Switches > Interface Stats to graph usage, export CSV reports, and set thresholds for alerting. This is useful for tracking congestion or faulty links."
